동,연도,월,전체,남자,여자,아동전체,아동남자,아동여자,청소년전체,청소년남자,청소년여자,청년전체,청년남자,청년여자
월계3동,2025,2,28157.0,13423.0,14734.0,2982.0,1560.0,1422.0,3239.0,1665.0,1574.0,5317.0,2630.0,2687.0
월계3동,2025,3,28121.0,13415.0,14706.0,2957.0,1548.0,1409.0,3230.0,1663.0,1567.0,5320.0,2642.0,2678.0
월계3동,2025,4,28020.0,13349.0,14671.0,2932.0,1535.0,1397.0,3198.0,1642.0,1556.0,5314.0,2630.0,2684.0
월계3동,2025,5,28034.0,13350.0,14684.0,2941.0,1539.0,1402.0,3178.0,1626.0,1552.0,5320.0,2630.0,2690.0
월계3동,2025,6,27991.0,13329.0,14662.0,2915.0,1520.0,1395.0,3139.0,1605.0,1534.0,5323.0,2623.0,2700.0
월계3동,2025,7,27956.0,13302.0,14654.0,2906.0,1511.0,1395.0,3116.0,1595.0,1521.0,5309.0,2608.0,2701.0
월계3동,2025,8,27955.0,13297.0,14658.0,2900.0,1508.0,1392.0,3093.0,1585.0,1508.0,5303.0,2605.0,2698.0
월계3동,2025,9,27944.0,13290.0,14654.0,2894.0,1502.0,1392.0,3073.0,1568.0,1505.0,5302.0,2609.0,2693.0
월계3동,2025,10,27947.0,13276.0,14671.0,2887.0,1491.0,1396.0,3069.0,1569.0,1500.0,5314.0,2615.0,2699.0
월계3동,2025,11,27922.0,13272.0,14650.0,2887.0,1493.0,1394.0,3056.0,1562.0,1494.0,5302.0,2609.0,2693.0
월계3동,2025,12,27839.0,13231.0,14608.0,2869.0,1487.0,1382.0,3048.0,1557.0,1491.0,5285.0,2604.0,2681.0
공릉1동,2023,1,36385.0,17667.0,18718.0,3539.0,1821.0,1718.0,5948.0,2862.0,3086.0,9652.0,4744.0,4908.0
공릉1동,2023,2,36422.0,17693.0,18729.0,3517.0,1815.0,1702.0,6059.0,2937.0,3122.0,9719.0,4782.0,4937.0
공릉1동,2023,3,36414.0,17670.0,18744.0,3491.0,1804.0,1687.0,6059.0,2928.0,3131.0,9750.0,4782.0,4968.0
공릉1동,2023,4,36301.0,17593.0,18708.0,3460.0,1793.0,1667.0,6000.0,2890.0,3110.0,9725.0,4748.0,4977.0
공릉1동,2023,5,36275.0,17568.0,18707.0,3434.0,1783.0,1651.0,5993.0,2882.0,3111.0,9725.0,4734.0,4991.0
공릉1동,2023,6,36240.0,17564.0,18676.0,3418.0,1776.0,1642.0,5968.0,2877.0,3091.0,9735.0,4752.0,4983.0
공릉1동,2023,7,36126.0,17501.0,18625.0,3379.0,1756.0,1623.0,5945.0,2867.0,3078.0,9711.0,4753.0,4958.0
공릉1동,2023,8,36160.0,17520.0,18640.0,3367.0,1752.0,1615.0,5971.0,2878.0,3093.0,9752.0,4768.0,4984.0
공릉1동,2023,9,36166.0,17512.0,18654.0,3350.0,1742.0,1608.0,5987.0,2879.0,3108.0,9763.0,4777.0,4986.0
공릉1동,2023,10,36041.0,17429.0,18612.0,3333.0,1726.0,1607.0,5946.0,2851.0,3095.0,9710.0,4742.0,4968.0
공릉1동,2023,11,35991.0,17412.0,18579.0,3322.0,1721.0,1601.0,5894.0,2829.0,3065.0,9709.0,4749.0,4960.0
공릉1동,2023,12,35984.0,17395.0,18589.0,3306.0,1708.0,1598.0,5862.0,2805.0,3057.0,9719.0,4745.0,4974.0
공릉1동,2024,1,35913.0,17353.0,18560.0,3294.0,1696.0,1598.0,5818.0,2776.0,3042.0,9677.0,4717.0,4960.0
공릉1동,2024,2,36024.0,17425.0,18599.0,3257.0,1684.0,1573.0,6016.0,2875.0,3141.0,9753.0,4754.0,4999.0
공릉1동,2024,3,36011.0,17404.0,18607.0,3229.0,1664.0,1565.0,6032.0,2884.0,3148.0,9783.0,4768.0,5015.0
공릉1동,2024,4,35981.0,17382.0,18599.0,3215.0,1657.0,1558.0,6018.0,2866.0,3152.0,9771.0,4757.0,5014.0
공릉1동,2024,5,35906.0,17348.0,18558.0,3195.0,1646.0,1549.0,6008.0,2862.0,3146.0,9766.0,4760.0,5006.0
공릉1동,2024,6,35863.0,17328.0,18535.0,3164.0,1628.0,1536.0,5963.0,2831.0,3132.0,9758.0,4756.0,5002.0
공릉1동,2024,7,35830.0,17308.0,18522.0,3160.0,1624.0,1536.0,5944.0,2830.0,3114.0,9717.0,4728.0,4989.0
공릉1동,2024,8,35814.0,17290.0,18524.0,3146.0,1615.0,1531.0,5947.0,2826.0,3121.0,9735.0,4726.0,5009.0
공릉1동,2024,9,35776.0,17277.0,18499.0,3128.0,1615.0,1513.0,5929.0,2820.0,3109.0,9727.0,4732.0,4995.0
공릉1동,2024,10,35650.0,17191.0,18459.0,3095.0,1596.0,1499.0,5899.0,2794.0,3105.0,9709.0,4718.0,4991.0
공릉1동,2024,11,35576.0,17156.0,18420.0,3074.0,1581.0,1493.0,5834.0,2756.0,3078.0,9672.0,4709.0,4963.0
공릉1동,2024,12,35551.0,17150.0,18401.0,3052.0,1569.0,1483.0,5807.0,2752.0,3055.0,9678.0,4707.0,4971.0
